title,genres,release_year,user_rating,keywords,director,description,poster_url,trailer_url,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,Unknown,War,Western
Taken 2,"['Action', 'Crime', 'Thriller']",2012.0,0.6400000000000001,"kidnapping, fbi, turkey, police chase, teenage daughter, stealing a car, ex-husband ex-wife relationship, albanian, u.s. embassy, aggressive, furious",Olivier Megaton,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",https://image.tmdb.org/t/p/w500/yzAlcuJhpnxRPjaj7AHBRbNPQCJ.jpg,https://www.youtube.com/watch?v=otHUjWVgIig,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Woman of the Hour,"['Crime', 'Drama', 'Thriller']",2024.0,0.65,Unknown,Anna Kendrick,"An aspiring actress crosses paths with a prolific serial killer in '70s LA when they're cast on an episode of ""The Dating Game.""",https://image.tmdb.org/t/p/w500/nc9ZqrJFbcUdlMg9lxXXtJb24jU.jpg,https://www.youtube.com/watch?v=ODUdpwddTQk,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Train to Busan,"['Horror', 'Thriller', 'Action']",2016.0,0.7757000000000001,"zombie, train, survival horror, frantic, busan, south korea, south korea, intense",Yeon Sang-ho,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",https://image.tmdb.org/t/p/w500/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,https://www.youtube.com/watch?v=0_sV9luPnMk,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']",2015.0,0.73,"artificial intelligence (a.i.), saving the world, superhero, based on comic, sequel, vision, superhero team, creator, super villain, duringcreditsstinger, marvel cinematic universe (mcu), fictitious country, evil robot, good vs evil",Joss Whedon,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,https://www.youtube.com/watch?v=JAUoeqvedMo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Me Before You,"['Drama', 'Romance']",2016.0,0.7929,"depression, small town, based on novel or book, england, artist, wheelchair, romance, love, caretaker, caregiver, disabled, valentine's day, twenty something, woman director, accident",Thea Sharrock,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",https://image.tmdb.org/t/p/w500/Ia3dzj5LnCj1ZBdlVeJrbKJQxG.jpg,https://www.youtube.com/watch?v=T0MmkG_nG1U,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Megamind vs. the Doom Syndicate,"['Animation', 'Comedy', 'Science Fiction']",2024.0,0.4845,"sequel, aftercreditsstinger, low cost, low budget, absurd",Eric Fogel,"Megamind's former villain team, The Doom Syndicate, has returned. Our newly crowned blue hero must now keep up evil appearances until he can assemble his friends (Roxanne, Ol' Chum and Keiko) to stop his former evil teammates from launching Metro City to the Moon.",https://image.tmdb.org/t/p/w500/1N7terrMeZPwK5qq31MUD0HQ3IG.jpg,https://www.youtube.com/watch?v=DXb7tWC2W5o,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Hobbit: The Desolation of Smaug,"['Fantasy', 'Adventure', 'Action']",2013.0,0.7574000000000001,"gold, lake, based on novel or book, orcs, elves, dwarf, shapeshifting, mountain, giant spider, sequel, bear, dragon, turns into animal, barrel, fantasy world, wizard, journey, ring, invisibility, captured, live action and animation, high fantasy, sword and sorcery, trekking, good versus evil, creatures, dwarves, epic quest, trolls, hobbit",Peter Jackson,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",https://image.tmdb.org/t/p/w500/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,https://www.youtube.com/watch?v=gAo95e7_XKA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kung Fu Panda 3,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",2016.0,0.6900000000000001,"martial arts, kung fu, china, fighter, village, villain, sequel, panda, anthropomorphism, dragon, wuxia, woman director",Jennifer Yuh Nelson,"While Po and his father are visiting a secret panda village, an evil spirit threatens all of China, forcing Po to form a ragtag army to fight back.",https://image.tmdb.org/t/p/w500/oajNi4Su39WAByHI6EONu8G8HYn.jpg,https://www.youtube.com/watch?v=yqN7nHM1YTA,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Lion King II: Simba's Pride,"['Family', 'Adventure', 'Animation', 'Action']",1998.0,0.6949000000000001,"friendship, baby, africa, lion, shakespeare in modern dress, father daughter relationship, familiar",Darrell Rooney,"The circle of life continues for Simba, now fully grown and in his rightful place as the king of Pride Rock. Simba and Nala have given birth to a daughter, Kiara who's as rebellious as her father was. But Kiara drives her parents to distraction when she catches the eye of Kovu, the son of the evil lioness, Zira. Will Kovu steal Kiara's heart?",https://image.tmdb.org/t/p/w500/sWR1x6UCMCGN9xEf8RGhPS934X0.jpg,https://www.youtube.com/watch?v=gxrwh6WNMLU,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mantra Warrior: The Legend of The Eight Moons,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']",2023.0,0.76,"hero, moon, armor, superhero, villain, ramayana, warrior, supervillain, war, 3d animation",Jinanavin Veerapatra,"A story inspired by the original RAMAYANA, retold in a futuristic universe, involving brave warriors who possess ancient powers from another dimension.",https://image.tmdb.org/t/p/w500/sQE0VegwDa0GHjawfNRr1sFgVE2.jpg,https://www.youtube.com/watch?v=UW5P7QkYLqY,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Aliens,"['Action', 'Thriller', 'Science Fiction']",1986.0,0.7949,"android, space marine, extraterrestrial technology, spaceman, space travel, settler, colony, cryogenics, vacuum, space colony, warrior woman, alien, space, female protagonist, creature, desolate, female hero, xenomorph, desolate planet, exhilarated",James Cameron,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.",https://image.tmdb.org/t/p/w500/r1x5JGpyqZU8PYhbs4UcrO1Xb6x.jpg,https://www.youtube.com/watch?v=8OxirbuHsBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
It Chapter Two,"['Horror', 'Drama', 'Fantasy']",2019.0,0.6843,"based on novel or book, clown, carnival, sequel, remake, maine, creature, fear, lgbt, ancient evil, loss of a friend",Andy Muschietti,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",https://image.tmdb.org/t/p/w500/zfE0R94v1E8cuKAerbskfD3VfUt.jpg,https://www.youtube.com/watch?v=xhJ5P7Up3jA,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Bad Boys for Life,"['Thriller', 'Action', 'Crime']",2020.0,0.714,"mexico, miami, florida, detective, women's prison, sequel, prison escape, murder, drug cartel, police chase, police detective, buddy cop, buddy film, action hero, past relationship, reflective",Bilall Fallah,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",https://image.tmdb.org/t/p/w500/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,https://www.youtube.com/watch?v=R228yPrwqTo,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"['Animation', 'Action', 'Fantasy', 'Thriller']",2020.0,0.8210000000000002,"fight, magic, supernatural, psychology, gore, coming of age, survival, tragedy, based on manga, demon, historical, family, mutilation, adult animation, dark fantasy, shounen, anime, taisho period",Haruo Sotozaki,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",https://image.tmdb.org/t/p/w500/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,https://www.youtube.com/watch?v=XbTSLJ62YEM,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Exorcism in Utero,['Horror'],2023.0,0.5900000000000001,Unknown,Erik Skybak,"Herma finds a powerful ring that possesses her when she tries it on; as her body transforms and mind begins to deteriorate, she must find a way out to save herself and her unborn baby.",https://image.tmdb.org/t/p/w500/eX5TsKpEk5qDgWJk0UBbROgqjlh.jpg,https://www.youtube.com/watch?v=kAxyt51yeWM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
My Spy The Eternal City,"['Action', 'Comedy']",2024.0,0.67,"central intelligence agency (cia), spy, sequel, adult child friendship, male female friendship",Peter Segal,"JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear plot targeting the Vatican.",https://image.tmdb.org/t/p/w500/Bf3vCfM94bSJ1saZlyi0UW0e0U.jpg,https://www.youtube.com/watch?v=6xJ1F7yFsnU,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Steel,"['Action', 'Science Fiction', 'Drama']",2011.0,0.7035,"future, sports, parent child relationship, fight, robot, prizefight, father son reunion, robot fighting, 2020s",Shawn Levy,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",https://image.tmdb.org/t/p/w500/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,https://www.youtube.com/watch?v=obYuPJH2oTE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Late Night with the Devil,['Horror'],2024.0,0.7204,"new york city, 1970s, halloween, possession, hallucination, evil, hypnotism, found footage, satanic cult, death of wife, parapsychology, magician, late-night show, supernatural horror, satanic panic",Cameron Cairnes,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",https://image.tmdb.org/t/p/w500/mu8LRWT9GHkfiyHm7kgxT6YNvMW.jpg,https://www.youtube.com/watch?v=YeKYfneOH3o,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Minions: The Rise of Gru,"['Animation', 'Comedy', 'Family', 'Adventure']",2022.0,0.7317,"1970s, villain, sequel, spin off, duringcreditsstinger, supervillain, illumination, gentleminions",Kyle Balda,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",https://image.tmdb.org/t/p/w500/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,https://www.youtube.com/watch?v=HhIl_XJ-OGA,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
All Ladies Do It,"['Comedy', 'Drama']",1992.0,0.49000000000000005,Unknown,Tinto Brass,"After five years of marriage, Diana discovers the joys of adultery, claiming that she can save her failing relationship through betrayal.",https://image.tmdb.org/t/p/w500/u4QZQ0QU2jf5H5qaBRRdGrz7dmy.jpg,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Interview,"['Action', 'Comedy']",2014.0,0.6200000000000001,"central intelligence agency (cia), socialism, coup d'etat, assassination attempt, evil dictator, north korea",Seth Rogen,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",https://image.tmdb.org/t/p/w500/tIDC4xT65l7a8qbgg8GvwD5g8c5.jpg,https://www.youtube.com/watch?v=BJu0KYd5-_M,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You're Killing Me,"['Horror', 'Thriller', 'Action']",2023.0,0.58,Unknown,Beth Hanna,"Eden goes to a coveted 'Heaven and Hell' party, hoping to get a letter of recommendation to an elite university from the wealthy parents of her classmate, but the party quickly turns into a fight for her life.",https://image.tmdb.org/t/p/w500/tAnwQKYkRlXS6Lgaq5XQ7JqS58x.jpg,https://www.youtube.com/watch?v=yOaU8bMpMr8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
The Clean Up Crew,"['Action', 'Crime', 'Thriller']",2024.0,0.54,"briefcase, crime scene, kingpin, fbi agent",Jon Keeyes,"When a crime scene clean up crew discovers a briefcase full of money, they must out smart a criminal kingpin and corrupt FBI agents who want it back.",https://image.tmdb.org/t/p/w500/oinz9e5xvcn0hDQZyWUGPJ0oVye.jpg,https://www.youtube.com/watch?v=xzmDx9YXLGA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Indiana Jones and the Dial of Destiny,"['Adventure', 'Action']",2023.0,0.66,"treasure hunt, ancient rome, sequel, flashback, knife fight, archaeologist, adventurer, 1960s, nazi germany, action adventure",James Mangold,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",https://image.tmdb.org/t/p/w500/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,https://www.youtube.com/watch?v=eQfMbSe7F2g,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scream,"['Crime', 'Horror', 'Mystery']",1996.0,0.7400000000000001,"high school, small town, riddle, killing, halloween, house party, serial killer, school, slasher, whodunit, killing spree, phone, tabloid, news reporter, self-referential, crime spree, halloween costume, young adult, teenager",Wes Craven,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",https://image.tmdb.org/t/p/w500/aXAByjBN8UhaYvotqRCwa5MsMGu.jpg,https://www.youtube.com/watch?v=U0LETmDvuXc,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Guy Ritchie's The Covenant,"['War', 'Action', 'Thriller']",2023.0,0.7767000000000001,"rescue, ambush, interpreter, afghanistan, afghanistan war (2001-2021), war, exhilarated, hopeful",Guy Ritchie,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",https://image.tmdb.org/t/p/w500/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg,https://www.youtube.com/watch?v=02PPMPArNEQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Kingsman: The Secret Service,"['Crime', 'Comedy', 'Action', 'Adventure']",2015.0,0.7633000000000001,"great britain, spy, secret organization, secret agent, based on comic, united kingdom, duringcreditsstinger",Matthew Vaughn,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,https://image.tmdb.org/t/p/w500/r6q9wZK5a2K51KFj4LWVID6Ja1r.jpg,https://www.youtube.com/watch?v=Th_KrhqmHk8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumanji: The Next Level,"['Adventure', 'Comedy', 'Fantasy']",2019.0,0.6900000000000001,"magic, animal attack, body-swap, adventurer, superhuman strength, duringcreditsstinger, action hero, trapped in a game",Jake Kasdan,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.",https://image.tmdb.org/t/p/w500/jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg,https://www.youtube.com/watch?v=F6QaLsw8EWY,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Scouts Guide to the Zombie Apocalypse,"['Comedy', 'Horror']",2015.0,0.6536,"shotgun, camping, campsite, gore, strip club, zombie, dripping blood, flesh eating, boy scouts, zombie apocalypse",Christopher Landon,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",https://image.tmdb.org/t/p/w500/lUKvvSnjFlazrdh6wyHxHrdMknD.jpg,https://www.youtube.com/watch?v=hKrAyaadZLg,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Damsel,"['Fantasy', 'Action', 'Adventure']",2024.0,0.7063,"princess, fire, escape, chase, kingdom, sword, cave, mountain, revenge, survival, knight, dragon, struggle for survival, hero's journey, desperate, survive, fairytale",Juan Carlos Fresnadillo,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.,https://image.tmdb.org/t/p/w500/AgHbB9DCE9aE57zkHjSmseszh6e.jpg,https://www.youtube.com/watch?v=iM150ZWovZM,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mayhem!,"['Action', 'Crime', 'Drama']",2023.0,0.67,"fighter, gore, revenge, violence, action",Xavier Gens,"Sam is a professional boxer about to get released from prison. While on parole, his past catches up with him and he has no choice but to flee. Five years later, he has rebuilt a simple life on an exotic island in Thailand with his wife and her daughter, but when he gets blackmailed by a dangerous local godfather, he must embark on a dangerous drug smuggling mission which results in a tragedy. Now he has only one purpose: to seek merciless vengeance.",https://image.tmdb.org/t/p/w500/u9035lysUz3ccloQt0SeIp1Mu8a.jpg,https://www.youtube.com/watch?v=PmcqVmRPgvk,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Predator,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",1987.0,0.7534000000000001,"guerrilla warfare, central and south america, predator, trap, alien, survival, stalking, creature, alien invasion, invisible, commando, prey, furious, violence, suspenseful, hilarious",John McTiernan,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,https://image.tmdb.org/t/p/w500/k3mW4qfJo6SKqe6laRyNGnbB9n5.jpg,https://www.youtube.com/watch?v=XY6d4LGd8YM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Ben-Hur,"['History', 'Drama', 'Adventure', 'Action']",1959.0,0.7883,"epic, governor, middle east, based on novel or book, roman empire, politics, christianity, jew persecution, jewish life, roman, miracle, jerusalem, prince, chariot race, leprosy, redemption, religious conversion, ancient rome, gay interest, love, friends, remake, revenge, judaism, religion, historical fiction, period drama, dungeon, galley, hatred, sheikh, sea battle, jewish family, galley slave, childhood sweetheart, salvation, 1st century, jesus christ, false imprisonment, judea, subjugated people, awestruck",William Wyler,"In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.",https://image.tmdb.org/t/p/w500/m4WQ1dBIrEIHZNCoAjdpxwSKWyH.jpg,https://www.youtube.com/watch?v=NR1ZHKw09n8,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Alita: Battle Angel,"['Action', 'Science Fiction', 'Adventure']",2019.0,0.7200000000000001,"martial arts, bounty hunter, dystopia, extreme sports, superhero, cyberpunk, based on manga, female cyborg, live action remake, floating city, gunnm, suspenseful, assertive, enraged, straightforward",Robert Rodriguez,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",https://image.tmdb.org/t/p/w500/xRWht48C2V8XNfzvPehyClOvDni.jpg,https://www.youtube.com/watch?v=puKWa8hrvA8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shrek Forever After,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",2010.0,0.6379,"witch, sequel, ogre",Mike Mitchell,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",https://image.tmdb.org/t/p/w500/6HrfPZtKcGmX2tUWW3cnciZTaSD.jpg,https://www.youtube.com/watch?v=Ma9oseKpj9g,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Jackal,"['Action', 'Thriller', 'Adventure', 'Crime']",1997.0,0.6375000000000001,"showdown, hitman, politics, bratva (russian mafia), cold war, fbi, montreal, canada, revenge, terrorism, ira (irish republican army), pretending to be gay",Michael Caton-Jones,"Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, a psychopathic hitman known only as The Jackal proves an elusive target for the people charged with the task of bringing him down: a deputy FBI director, a Russian MVK Major,  and a jailed IRA terrorist who can recognize him.",https://image.tmdb.org/t/p/w500/oXF26QmDEaRaH9Fbhs3NXtcnryx.jpg,https://www.youtube.com/watch?v=_3UCCtpFET8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Killing Romance,"['Thriller', 'Comedy']",2023.0,0.63,"attempted murder, pacific, south pacific, actress, chaebol",Lee Won-suk,"Hwang Yeo-rae, a once-popular actress, faces a turbulent marriage and yearns for her old career. When she moves in next to Kim Beom-woo, her biggest fan, a desperate plan to regain her freedom and revive her career unfolds.",https://image.tmdb.org/t/p/w500/d5cvYhiyykZrliPSPqO4iFGJMus.jpg,https://www.youtube.com/watch?v=zvqFwkvxch8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pacific Rim,"['Action', 'Science Fiction', 'Adventure']",2013.0,0.6904,"monster, dystopia, giant monster, pacific, alaska, giant robot, apocalypse, hong kong, robot, alien invasion, kaiju, duringcreditsstinger, monster movie",Guillermo del Toro,"Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes who now stand as earth's final hope against the mounting apocalypse.",https://image.tmdb.org/t/p/w500/mmznhaQDwlHWpUwKuNxtQiubbmM.jpg,https://www.youtube.com/watch?v=hQAQxQop6Io,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hot Frosty,"['Romance', 'Comedy']",2024.0,0.6025,"holiday, romantic comedy, romance, anthropomorphism, love, snowman, christmas, quirky, goofy, cheerful, feel-good",Jerry Ciccoritti,"When a young widow's magic scarf brings a dashing snowman to life, can he help her rediscover romance, laughter and holiday cheer before he melts away?",https://image.tmdb.org/t/p/w500/waW6R5WJQSxq65gwBkvnKlseU6n.jpg,https://www.youtube.com/watch?v=Dmi794YO-0w,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Leggings Mania,"['Drama', 'Romance']",2023.0,0.5,Unknown,Richard Kim,"Jeong-hee was living with a man due to a de facto marriage. One day, her daughter, Dam-hoi, returned from her study abroad. Dam-hoi always wears leggings. The soon-to-be stepdad, Byeong-min, who is usually a fan of leggings, pays attention to her daughter's clothes. Jeong-hee noticed it, so she also started wearing leggings to distract her young prospective husband.",https://image.tmdb.org/t/p/w500/wjxDVxLXM3fOSl3wm2WujNVNzs6.jpg,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Truman Show,"['Comedy', 'Drama']",1998.0,0.81,"escape, paranoia, dystopia, suspicion, video surveillance, deception, hidden camera, simulated reality , television producer, tv show in film, questioning, make believe, reflective, tv show, actor, dignified, allegory of the cave",Peter Weir,"Every second of every day, from the moment he was born, for the last thirty years, Truman Burbank has been the unwitting star of the longest running, most popular documentary-soap opera in history. The picture-perfect town of Seahaven that he calls home is actually a gigantic soundstage. Truman's friends and family - everyone he meets, in fact - are actors. He lives every moment under the unblinking gaze of thousands of hidden TV cameras.",https://image.tmdb.org/t/p/w500/vuza0WqY239yBXOadKlGwJsZJFE.jpg,https://www.youtube.com/watch?v=N1VlDVRiFrk,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Scream VI,"['Horror', 'Crime', 'Thriller']",2023.0,0.7000000000000001,"mask, new york city, trauma, halloween, college, fake identity, sequel, conspiracy theory, revenge, public murder, murder, social commentary, serial killer, police corruption, slasher, whodunit, multiple stabbings, brutality, killing spree, self-referential, crime spree, aftercreditsstinger, movie fan, copycat killer, satirical, generation z, fbi agent, irreverent, familiar, ridiculous",Matt Bettinelli-Olpin,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",https://image.tmdb.org/t/p/w500/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg,https://www.youtube.com/watch?v=1Ie2qmAOc6Q,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Mission: Impossible - Ghost Protocol,"['Action', 'Thriller', 'Adventure']",2011.0,0.71,Unknown,Brad Bird,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",https://image.tmdb.org/t/p/w500/eRZTGx7GsiKqPch96k27LK005ZL.jpg,https://www.youtube.com/watch?v=7wkih9Yvxq0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Van Helsing,"['Horror', 'Adventure', 'Action']",2004.0,0.6374,"transylvania, vampire, vatican, bite, castle, steampunk, werewolf, gothic horror, van helsing, notre dame cathedral, 19th century, mr. hyde, frankenstein, dracula, fantasy, depressing, hum",Stephen Sommers,Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.,https://image.tmdb.org/t/p/w500/gsFun8nATm52aGHeT8ueAel98nE.jpg,https://www.youtube.com/watch?v=3fdRKme00uI,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Grown Ups 2,['Comedy'],2013.0,0.6141000000000001,"friendship, journey in the past, past, friends",Dennis Dugan,"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",https://image.tmdb.org/t/p/w500/hT6ijOtjtYrnyDhN7VA2QWyGFAm.jpg,https://www.youtube.com/watch?v=Sq5CIH0duMk,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
